Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Indistractable: How to Control Your Attention and Choose Your Life,"Nir Eyal, Julie Li","",9781948836531,hardcover,read,2020/12/17,2020/12/17,2020/12/17,1,"",,,,,,,4.0,,"",,"self-help, psychology",No
Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,"",9780307949325,digital,read,2023/03/08,2023/03/07,2023/03/02-2023/03/07,1,"challenging, emotional, informative",medium,,,,,,3.5,"","","","self-help, memoir",No
Killing Weakness: The Samurai's Path to Self-Actualization : Use This Warrior Method to Develop Inner Strength and Find Your True Path,Ryan Perez,"",B08P8YW5V2,digital,read,2021/07/18,2021/07/31,2021/07/31,1,"",,,,,,,4.0,,"",,philosophy,No
A User Guide to The Unconscious Mind,Tatiana Lukyanova,"",9781645166719,paperback,to-read,2021/11/23,"","",0,"",,,,,,,,,"",,"",No
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"",9780804137386,hardcover,read,2020/11/09,2020/11/09,2020/11/09,1,"",,,,,,,4.0,,"",,business,No
Dr. Rick Will See You Now,Dr. Rick,"",B09LSCZCJC,digital,read,2022/11/15,2022/11/15,2022/11/15,1,"",,,,,,,5.0,,"",,"funny, self-help",No
The Psychology Of Man's Possible Evolution,P.D. Ouspensky,"","",digital,read,2021/08/16,2021/09/20,2021/09/20,1,"",,,,,,,2.0,"While it has some good bits, I found it mostly underwhelming.","",,psychology,No
Meditations,Marcus Aurelius,Martin Hammond (Translator),9780140449334,paperback,read,2020/08/25,2023/01/19,"2023/01/18-2023/01/19, 2020/05/01",2,"",,,,,,,5.0,"Profound, especially during such a difficult year in history. It is a book I will come back to each year and contemplate around.","",,philosophy,No
How Charts Lie: Getting Smarter about Visual Information,Alberto Cairo,"",9781324001560,hardcover,read,2022/10/23,2022/10/23,2022/10/23,1,"",,,,,,,4.0,,"",,"business, data, psychology, science",No
Fatigue,Jennifer Acker,"","",,read,2021/12/05,2021/12/05,2021/12/05,1,"",,,,,,,3.0,,"",,memoir,No
The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John Gottman,Nan Silver (Contributor),9780609805794,paperback,read,2023/01/25,2023/01/25,2023/01/18-2023/01/25,1,informative,,,,,,,4.0,"","","",relationships,No
Grammar: Know Your Shit or Know You're Shit,Joanne Adams,"",,,to-read,2023/02/12,"","",0,"",,,,,,,,,"",,"",No
Pornland: How Porn Has Hijacked Our Sexuality,Gail Dines,"",9780807044520,hardcover,read,2021/11/07,2021/11/07,2021/11/07,1,"",,,,,,,5.0,,"",,"sex, sociology",No
"Waste-Free Kitchen Handbook: A Guide to Eating Well and Saving Money by Wasting Less Food (Zero Waste Home, Zero Waste Book, Sustainable Living Boo",Dana Gunders,"",9781452133546,paperback,read,2023/04/30,2023/04/29,2023/04/26-2023/04/29,1,informative,fast,,,,,,4.0,"","","","health, food",No
Capitalism Is Past Its Sell-By Date: From Incredible Success To Enabling Environmental and Resource Unsustainability,Kit Webster,"",9780982592328,paperback,to-read,2021/11/23,"","",0,"",,,,,,,,,"",,"",No
Just My Type: A Book About Fonts,Simon Garfield,"",9781592406524,hardcover,read,2023/03/05,2023/03/01,2023/03/04-2023/03/01,1,"informative, lighthearted",fast,,,,,,4.25,"","","","design, history",No
Migraine; Inside a World of Invisible Pain,Maria Konnikova,"","",audio,read,2022/01/01,2022/01/01,2022/01/01,1,"",,,,,,,4.0,,"",,health,No
The Diving Bell and the Butterfly,Jean-Dominique Bauby,Jeremy Leggatt (Translator),9780375701214,paperback,read,2021/05/14,2021/05/14,2021/05/14,1,"",,,,,,,2.0,,"",,memoir,No
Black Box Thinking: Why Some People Never Learn from Their Mistakes - But Some Do,Matthew Syed,"",9781591848226,hardcover,read,2022/06/10,2022/06/10,2022/06/10,1,"",,,,,,,5.0,,"",,"business, self-help, psychology",No
Empire of Illusion: The End of Literacy and the Triumph of Spectacle,Chris Hedges,"",9781568584379,hardcover,read,2021/11/23,2021/11/24,2021/11/24,1,"",,,,,,,4.0,,"",,"politics, sociology",No
"The Great Money Reset: Change Your Work, Change Your Wealth, Change Your Life","Jill Schlesinger, Jill Schlesinger","",9781250283405,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
Fooled by the Winners: How Survivor Bias Deceives Us,"David Lockwood, David Lockwood","",9781626348806,hardcover,to-read,2021/12/01,"","",0,"",,,,,,,,,"",,"",No
Reading in the Brain: The Science and Evolution of a Human Invention,Stanislas Dehaene,"",,paperback,read,2023/01/14,2023/01/14,2023/01/14,1,informative,slow,,,,,,3.0,"","","","psychology, science",No
Dismantling the Fantasy: An Invitation to the Fullness of Life,Darryl Bailey,"",9780956309167,paperback,read,2021/08/15,2021/08/28,2021/08/28,1,"",,,,,,,3.0,,"",,philosophy,No
"Do More Great Work: Stop the Busywork, and Start the Work That Matters.",Michael Bungay Stanier,"",9780761156444,paperback,read,2023/02/09,2023/02/09,2023/02/09-2023/02/09,1,"",fast,,,,,,2.0,"","","",business,No
When Bad Things Happen to Good People,Harold S. Kushner,"",9781400034727,paperback,read,2021/06/18,2021/06/18,2021/06/18,1,"",,,,,,,4.0,,"",,philosophy,No
"Plant-Based on a Budget: Delicious Vegan Recipes for Under $30 a Week, in Less Than 30 Minutes a Meal",Toni Okamoto,"",9781946885982,paperback,to-read,2021/11/23,"","",0,"",,,,,,,,,"",,"",No
10th Anniversary Edition the Life You Can Save: How to Do Your Part to End World Poverty,Singer,"",9781733672702,paperback,read,2021/12/01,2023/02/08,2023/02/05-2023/02/08,1,informative,medium,,,,,,4.0,"","","",philosophy,No
An American Sickness: How Healthcare Became Big Business and How You Can Take It Back,Elisabeth Rosenthal,"",9781524756208,paperback,read,2021/06/09,2021/06/09,2021/06/09,1,"",,,,,,,4.0,,"",,"health, politics",No
The Storyteller: Tales of Life and Music,Dave Grohl,"",9780063076099,hardcover,read,2023/04/12,2023/04/12,2023/04/03-2023/04/12,1,"emotional, funny, informative, lighthearted",fast,,,,,,4.5,"","","",memoir,No
Don't take anything personally: How to be,Tõnn Sarv,"",B07N2W86TF,digital,read,2021/10/20,2021/12/04,2021/12/04,1,"",,,,,,,4.0,,"",,philosophy,No
Focusing,Eugene T. Gendlin,"",9780553278330,paperback,read,2020/08/25,2020/06/01,2020/06/01,1,"",,,,,,,3.0,,"",,"self-help, psychology",No
The Art of Seduction,Robert Greene,"",9781861977694,paperback,read,2023/04/25,2023/04/24,2023/04/21-2023/04/24,1,"dark, informative",fast,,,,,,3.75,"","","","philosophy, psychology",No
Weapons of Math Destruction,Cathy O'Neil,"",9780553418811,hardcover,read,2021/03/09,2021/03/09,2021/03/09,1,"",,,,,,,5.0,,"",,"politics, technology, mathematics, science",No
"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"",9781328546395,hardcover,read,2021/12/06,2023/02/17,2023/02/14-2023/02/17,1,informative,fast,,,,,,4.0,"","","","technology, ai",No
The Self-Talk Workout: Six Science-Backed Strategies to Dissolve Self-Criticism and Transform the Voice in Your Head,Rachel Goldsmith Turow,"",9781611808483,paperback,to-read,2022/12/13,"","",0,"",,,,,,,,,"",,"",No
Dopamine Detox: A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,Thibaut Meurisse,"",B098MHBF23,digital,read,2021/12/18,2021/12/18,2021/12/18,1,"",,,,,,,3.0,,"",,self-help,No
A Life in Parts,Bryan Cranston,"",9781476793856,hardcover,read,2023/02/21,2023/02/21,2023/02/14-2023/02/21,1,"",fast,,,,,,3.0,"","","",memoir,No
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"",9780735211292,hardcover,read,2022/02/06,2022/02/06,2022/02/06,1,"",,,,,,,4.0,,"",,"habits, self-help, psychology",No
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"",9780062457714,hardcover,read,2022/10/03,2022/10/03,2022/10/03,1,"",,,,,,,5.0,,"",,"self-help, psychology",No
